title,location,language_req
"Back Office munkatárs","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
Szakács,"4060 Balmazújváros","Nem igényel nyelvtudást"
"Telefonos behajtási ügyintéző","Budapest / Debrecen","Nem igényel nyelvtudást"
"Retention Telefonos Munkatárs","Otthonról végezhető","Nem igényel nyelvtudást"
"TMK karbantartó / Gépbeállító lakatos","4060 Balmazújváros","Nem igényel nyelvtudást"
"Terméktervező mérnök/ termékfejlesztő mérnök",Nádudvar,"Nem igényel nyelvtudást"
"Contact Center Agent / Ügyfélszolgálatos","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Gyógyszergyártó gépkezelő",Debrecen,"Nem igényel nyelvtudást"
Manager,"Rugalmas munkavégzési hely - Budapest, Hajdú-Bihar megye, Pest megye","Nem igényel nyelvtudást"
"Németül és angolul beszélő diák Telefonkezelő","Országosan bárhonnan végezhető","Angol középfok"
"Területi képviselő","Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye","Nem igényel nyelvtudást"
"Üzemi operátor","4031 Debrecen, Köntösgát sor 5.","Nem igényel nyelvtudást"
"Villanyszerelő (Debrecen, Balmazújváros, Hajdúszoboszló)","Debrecen, Balmazújváros, Hajdúszoboszló","Nem igényel nyelvtudást"
"Betanított fémipari operátorokat","4031 Debrecen, Richter Gedeon utca 24.","Nem igényel nyelvtudást"
"Csomagolóanyag-vizsgáló laboráns",Debrecen,"Nem igényel nyelvtudást"
"Nyomdai kötészeti munkatárs","4030 Debrecen, Vikár Béla utca 4.","Nem igényel nyelvtudást"
"Lakatos (WHC012110)",Püspökladány,"Nem igényel nyelvtudást"
"Hegesztő (WHC012111)",Püspökladány,"Nem igényel nyelvtudást"
"Raktáros (Debrecen)",Debrecen,"Nem igényel nyelvtudást"
"Betermelő gépkocsivezető","4183 Kaba","Nem igényel nyelvtudást"
"Call-Center Back Office Manager","4032 Debrecen, Nagyerdei körút 98.","Angol alapfok"
Villanyszerelő,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Késztermék-vizsgáló laboráns",Debrecen,"Nem igényel nyelvtudást"
"Hűtő-klíma és hőszivattyú szerelő munkatárs","Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
"Területi képviselő","Rugalmas munkavégzési hely - Bács-Kiskun megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye, Pest megye, Szabolcs-Szatmár-Bereg megye","Angol középfok"
"Üzletkötő munkatárs","Országosan bárhonnan végezhető","Angol alapfok"
Ápoló,"Budapest, Kecskemét, Vác, Pécs, Sopron, Miskolc, Salgótarján, Nagykanizsa, Eger, Hatvan, Cegléd, Kiskunfélegyháza, Debrecen, Szigetvár","Nem igényel nyelvtudást"
"Call Center Telefonos Munkatárs","Otthonról végezhető","Nem igényel nyelvtudást"
"Ügyintéző angol nyelvtudással","4030 Debrecen","Angol felsőfok"
"Pénz- és értékszállító (Debrecen)","4027 Debrecen","Nem igényel nyelvtudást"
"Diákmunka - Termékfejlesztés Asszisztens",Debrecen,"Angol középfok"
"Üzemeltetési technológiai mérnök","Országosan bárhonnan végezhető - Nagyigmánd","Nem igényel nyelvtudást"
Villanyszerelő,"4031 Debrecen, Kishegyesi út 187.","Nem igényel nyelvtudást"
"Home Office Operátor","Országosan bárhonnan végezhető, Egyéb külföld","Nem igényel nyelvtudást"
"Senior Java Backend Fejlesztő/Architekt - németes (GYS)","Otthonról végezhető","Angol felsőfok"
"Targoncás - Raktári Munkás (Debrecen)","4002 Debrecen, Dinamó utca","Nem igényel nyelvtudást"
"CNC előkészítő","4031 Debrecen, Határ út 1.","Nem igényel nyelvtudást"
"Értékcsomag kezelő (Debrecen)","4030 Debrecen, Monostorpályi út 35.","Nem igényel nyelvtudást"
"Area manager","Országosan bárhonnan végezhető","Angol középfok"
"Csomagoló és árukiszedő","4030 Debrecen, Budai Ézsaiás utca 8b.","Nem igényel nyelvtudást"
"Raktári munkatárs","4030 Debrecen, Kaskötő utca 2.","Nem igényel nyelvtudást"
Kommunikációs/Tartalommenedzser,"4032 Debrecen","Angol középfok"
Festő-előkészítő,"4031 Debrecen, Határ út 1.","Nem igényel nyelvtudást"
"Sourcing recruiter","Anywhere nationwide","Angol felsőfok"
"Karbantartó munkatárs","4030 Debrecen, Fokos utca 14.","Nem igényel nyelvtudást"
"Call Center - Prémium biztosítás szakértő","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Építésvezető mérnök","Országosan bárhonnan végezhető","Angol középfok"
"Kerékpár Sporttanácsadó (Debrecen)","4002 Debrecen, Balmazújvárosi út 11.","Nem igényel nyelvtudást"
Raktáros,"4031 Debrecen, Richter Gedeon utca 15.","Nem igényel nyelvtudást"
"Napelem szerelő","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
Villanyszerelő,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Betanított operátor","4030 Debrecen, Vámraktár utca 1.","Nem igényel nyelvtudást"
"Gépkocsi vezető",Debrecen,"Nem igényel nyelvtudást"
"Gyártásvezető operátor","4064 Nagyhegyes","Nem igényel nyelvtudást"
Épületkarbantartó,"4030 Debrecen, Vágóhíd utca 3.","Nem igényel nyelvtudást"
"E-kategóriás gépkocsivezető","Országosan bárhonnan végezhető, Csehország, Szlovákia","Nem igényel nyelvtudást"
"Telefonbank és Bankkártya Ügyfélszolgálati Munkatárs - Siófok, Kecskemét, Szombathely, Zalaegerszeg, Debrecen","Siófok, Kecskemét, Szombathely, Zalaegerszeg, Debrecen","Angol középfok"
"Területi képviselő/Üzletkötő","Országosan bárhonnan végezhető, Budapest, Bács-Kiskun megye, Baranya megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Fejér megye, Győr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Komárom-Esztergom megye, Nógrád megye, Pest megye","Nem igényel nyelvtudást"
"Fuvarszervező speditőr","4176 Sáp","Angol középfok"
Targoncavezető,"4064 Nagyhegyes","Nem igényel nyelvtudást"
"Pénztáros megváltozott munkaképességű (heti 20 óra - Debrecen)","4002 Debrecen, Balmazújvárosi út 9.","Nem igényel nyelvtudást"
Gondnok,"4031 Debrecen","Nem igényel nyelvtudást"
Minőségellenőrzés,"Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
Villanyszerelő,"4063 Debrecen","Nem igényel nyelvtudást"
"Digitális marketing menedzser","4029 Debrecen","Angol középfok"
"Napelempark szerkezetépítő","Országosan bárhonnan végezhető, Egyéb külföld","Nem igényel nyelvtudást"
Raktáros,"4030 Debrecen","Nem igényel nyelvtudást"
Karbantartó,"4002 Debrecen, Zúzmara utca 8.","Nem igényel nyelvtudást"
"Lottózói munkatárs","4027 Debrecen","Nem igényel nyelvtudást"
"Betanított munkás (szállásos munkalehetőség)","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
